course_name,institution,course_id,num_reviews,avg_rating
Behavioral Finance,Duke University,duke-behavioral-finance,531,4.05
Getting Started with Google Kubernetes Engine,Google Cloud,google-kubernetes-engine,523,4.13
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,terrorism,521,4.72
Agile with Atlassian Jira,Atlassian,agile-atlassian-jira,520,4.57
Agile Meets Design Thinking,University of Virginia,uva-darden-getting-started-agile,519,4.7
Introduction to Structured Query Language (SQL),University of Michigan,intro-sql,518,4.65
Visual Elements of User Interface Design,California Institute of the Arts,visual-elements-user-interface-design,517,4.48
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,excel-vba-for-creative-problem-solving-part-1,515,4.75
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,gestion-organizaciones-efectivas,514,4.72
Dino 101: Dinosaur Paleobiology,University of Alberta,dino101,510,4.89
Food & Beverage Management,Università Bocconi,food-beverage-management,504,4.75
Data Analytics for Lean Six Sigma,University of Amsterdam,data-analytics-for-lean-six-sigma,500,4.84
Excel Skills for Business: Advanced,Macquarie University,excel-advanced,499,4.53
Science of Exercise,University of Colorado Boulder,science-exercise,498,4.72
Natural Language Processing in TensorFlow,DeepLearning.AI,natural-language-processing-tensorflow,498,4.11
Quantitative Methods,University of Amsterdam,quantitative-methods,490,4.67
Mathematics for Machine Learning: PCA,Imperial College London,pca-machine-learning,488,3.41
Understanding Clinical Research: Behind the Statistics,University of Cape Town,clinical-research,488,4.78
Think Again I: How to Understand Arguments,Duke University,understanding-arguments,487,4.53
Moral Foundations of Politics,Yale University,moral-politics,486,4.83
Database Management Essentials,University of Colorado System,database-management,486,4.43
Claves para Gestionar Personas,IESE Business School,gestionar-personas,485,4.81
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,systematic-review,475,4.74
Getting Started with AWS Machine Learning,Amazon Web Services,aws-machine-learning,471,3.95
Greening the Economy: Sustainable Cities,Lund University,gte-sustainable-cities,470,4.51
Étudier en France: French Intermediate course B1-B2,École Polytechnique,etudier-en-france,470,4.76
Основы программирования на Python,National Research University Higher School of Economics,python-osnovy-programmirovaniya,461,4.22
The Strategy of Content Marketing,"University of California, Davis",content-marketing,460,4.18
Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,introancientegypt,460,4.56
Applied Data Science Capstone,IBM,applied-data-science-capstone,453,4.38
English for Journalism,University of Pennsylvania,journalism,452,4.76
